source_file,campaign,timestamp,gain_db,center_frequency_hz,sample_rate_hz,duration_seconds,bias_t_state,topology,temperatures_c,decision,reason
data/rf_characterization/RF-CHAIN-01-20260826T202113Z/rf_50ohm_gain_00.0.h5,RF-CHAIN-01-20260826T202113Z,2026-08-26T20:21:18.026835+00:00,0.0,1420405752,2400000,2.0,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-CHAIN-01-20260826T202113Z/rf_50ohm_gain_08.7.h5,RF-CHAIN-01-20260826T202113Z,2026-08-26T20:21:24.748215+00:00,8.7,1420405752,2400000,2.0,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-CHAIN-01-20260826T202113Z/rf_50ohm_gain_20.7.h5,RF-CHAIN-01-20260826T202113Z,2026-08-26T20:21:31.352683+00:00,20.7,1420405752,2400000,2.0,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-CHAIN-01-20260826T202113Z/rf_50ohm_gain_29.7.h5,RF-CHAIN-01-20260826T202113Z,2026-08-26T20:21:37.974154+00:00,29.7,1420405752,2400000,2.0,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-CHAIN-01-20260826T202113Z/rf_50ohm_gain_40.2.h5,RF-CHAIN-01-20260826T202113Z,2026-08-26T20:21:44.588636+00:00,40.2,1420405752,2400000,2.0,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,pre SDR-sequence-fix campaign
data/rf_characterization/RF-CHAIN-01-20260826T202113Z/rf_50ohm_gain_49.6.h5,RF-CHAIN-01-20260826T202113Z,2026-08-26T20:21:51.204727+00:00,49.6,1420405752,2400000,2.0,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_01_ascending_00.0.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:30:49.964974+00:00,0.0,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_02_ascending_08.7.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:30:54.153068+00:00,8.7,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_03_ascending_20.7.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:30:58.283742+00:00,20.7,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_04_ascending_29.7.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:31:02.453126+00:00,29.7,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_05_ascending_40.2.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:31:06.609613+00:00,40.2,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,technically usable but redundant; bounded V1 subset selected
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_06_ascending_49.6.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:31:10.781465+00:00,49.6,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_07_descending_49.6.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:31:14.909920+00:00,49.6,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_08_descending_40.2.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:31:19.012037+00:00,40.2,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,technically usable but redundant; bounded V1 subset selected
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_09_descending_29.7.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:31:23.188174+00:00,29.7,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_10_descending_20.7.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:31:27.304588+00:00,20.7,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_11_descending_08.7.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:31:31.398854+00:00,8.7,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/RF-GAIN-ISOLATION-01-20260826T203045Z/gain_only_12_descending_00.0.h5,RF-GAIN-ISOLATION-01-20260826T203045Z,2026-08-26T20:31:35.518532+00:00,0.0,1420405752,2400000,,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
data/rf_characterization/SDR-CONFIG-SEQUENCE-FIX-01-20260826T205052Z/gain_ascending_00.0.h5,SDR-CONFIG-SEQUENCE-FIX-01-20260826T205052Z,2026-08-26T20:51:00.848209+00:00,0.0,1420405752,2400000,2.0,ON,50_OHM_TO_LNA_FILTER_CABLING_TO_RTL_SDR,[],EXCLUDED,gain differs from V1 profile gain 40.2 dB
