point_id,ra_deg,ra_hours,dec_deg,gal_lon,gal_lat,tb_kelvin
1,0.0,0.0,-90.0,123.932,-27.1283,4.6
2,7.5,0.5,-90.0,123.932,-27.1283,4.6
3,15.0,1.0,-90.0,123.932,-27.1283,4.6
4,22.5,1.5,-90.0,123.932,-27.1283,4.6
5,30.0,2.0,-90.0,123.932,-27.1283,4.6
6,37.5,2.5,-90.0,123.932,-27.1283,4.6
7,45.0,3.0,-90.0,123.932,-27.1283,4.6
8,52.5,3.5,-90.0,123.932,-27.1283,4.6
9,60.0,4.0,-90.0,123.932,-27.1283,4.6
10,67.5,4.5,-90.0,123.932,-27.1283,4.6
11,75.0,5.0,-90.0,123.932,-27.1283,4.6
12,82.5,5.5,-90.0,123.932,-27.1283,4.6
13,90.0,6.0,-90.0,123.932,-27.1283,4.6
14,97.5,6.5,-90.0,123.932,-27.1283,4.6
15,105.0,7.0,-90.0,123.932,-27.1283,4.6
16,112.5,7.5,-90.0,123.932,-27.1283,4.6
17,120.0,8.0,-90.0,123.932,-27.1283,4.6
18,127.5,8.5,-90.0,123.932,-27.1283,4.6
19,135.0,9.0,-90.0,123.932,-27.1283,4.6
20,142.5,9.5,-90.0,123.932,-27.1283,4.6
21,150.0,10.0,-90.0,123.932,-27.1283,4.6
22,157.5,10.5,-90.0,123.932,-27.1283,4.6
23,165.0,11.0,-90.0,123.932,-27.1283,4.6
24,172.5,11.5,-90.0,123.932,-27.1283,4.6
25,180.0,12.0,-90.0,123.932,-27.1283,4.6
26,187.5,12.5,-90.0,123.932,-27.1283,4.6
27,195.0,13.0,-90.0,123.932,-27.1283,4.6
28,202.5,13.5,-90.0,123.932,-27.1283,4.6
29,210.0,14.0,-90.0,123.932,-27.1283,4.6
30,217.5,14.5,-90.0,123.932,-27.1283,4.6
31,225.0,15.0,-90.0,123.932,-27.1283,4.6
32,232.5,15.5,-90.0,123.932,-27.1283,4.6
33,240.0,16.0,-90.0,123.932,-27.1283,4.6
34,247.5,16.5,-90.0,123.932,-27.1283,4.6
35,255.0,17.0,-90.0,123.932,-27.1283,4.6
36,262.5,17.5,-90.0,123.932,-27.1283,4.6
37,270.0,18.0,-90.0,123.932,-27.1283,4.6
38,277.5,18.5,-90.0,123.932,-27.1283,4.6
39,285.0,19.0,-90.0,123.932,-27.1283,4.6
40,292.5,19.5,-90.0,123.932,-27.1283,4.6
41,300.0,20.0,-90.0,123.932,-27.1283,4.6
42,307.5,20.5,-90.0,123.932,-27.1283,4.6
43,315.0,21.0,-90.0,123.932,-27.1283,4.6
44,322.5,21.5,-90.0,123.932,-27.1283,4.6
45,330.0,22.0,-90.0,123.932,-27.1283,4.6
46,337.5,22.5,-90.0,123.932,-27.1283,4.6
47,345.0,23.0,-90.0,123.932,-27.1283,4.6
48,352.5,23.5,-90.0,123.932,-27.1283,4.6
49,0.0,0.0,-85.6098,125.0757,-31.4037,3.0
50,7.5,0.5,-85.6098,124.4125,-31.4985,3.0
51,15.0,1.0,-85.6098,123.7398,-31.5153,3.0
52,22.5,1.5,-85.6098,123.071,-31.4539,3.0
53,30.0,2.0,-85.6098,122.4188,-31.3153,3.1
54,37.5,2.5,-85.6098,121.7959,-31.1025,3.1
55,45.0,3.0,-85.6098,121.214,-30.8193,3.2
56,52.5,3.5,-85.6098,120.6838,-30.4714,3.3
57,60.0,4.0,-85.6098,120.2146,-30.0653,3.5
58,67.5,4.5,-85.6098,119.8143,-29.6086,3.6
59,75.0,5.0,-85.6098,119.4894,-29.1096,3.8
60,82.5,5.5,-85.6098,119.2444,-28.5776,4.0
61,90.0,6.0,-85.6098,119.0824,-28.0219,4.2
62,97.5,6.5,-85.6098,119.005,-27.4523,4.5
63,105.0,7.0,-85.6098,119.0122,-26.8786,4.8
64,112.5,7.5,-85.6098,119.1026,-26.3106,5.0
65,120.0,8.0,-85.6098,119.2733,-25.7578,5.3
66,127.5,8.5,-85.6098,119.5207,-25.2293,5.6
67,135.0,9.0,-85.6098,119.8396,-24.7337,5.9
68,142.5,9.5,-85.6098,120.2242,-24.2791,6.2
69,150.0,10.0,-85.6098,120.6678,-23.8727,6.4
70,157.5,10.5,-85.6098,121.1628,-23.521,6.7
71,165.0,11.0,-85.6098,121.7011,-23.2294,6.9
72,172.5,11.5,-85.6098,122.274,-23.0027,7.0
73,180.0,12.0,-85.6098,122.8727,-22.8442,7.1
74,187.5,12.5,-85.6098,123.4877,-22.7565,7.2
75,195.0,13.0,-85.6098,124.1096,-22.741,7.2
76,202.5,13.5,-85.6098,124.7288,-22.7978,7.2
77,210.0,14.0,-85.6098,125.3356,-22.9261,7.1
78,217.5,14.5,-85.6098,125.9208,-23.1239,6.9
79,225.0,15.0,-85.6098,126.475,-23.3882,6.8
80,232.5,15.5,-85.6098,126.9896,-23.7147,6.5
81,240.0,16.0,-85.6098,127.4562,-24.0984,6.3
82,247.5,16.5,-85.6098,127.867,-24.5332,6.0
83,255.0,17.0,-85.6098,128.2149,-25.0121,5.7
84,262.5,17.5,-85.6098,128.4936,-25.5275,5.5
85,270.0,18.0,-85.6098,128.6978,-26.0709,5.2
86,277.5,18.5,-85.6098,128.8231,-26.6335,4.9
87,285.0,19.0,-85.6098,128.8662,-27.206,4.6
88,292.5,19.5,-85.6098,128.8252,-27.7785,4.4
89,300.0,20.0,-85.6098,128.6994,-28.3414,4.1
90,307.5,20.5,-85.6098,128.4898,-28.8848,3.9
91,315.0,21.0,-85.6098,128.1987,-29.3991,3.7
92,322.5,21.5,-85.6098,127.8301,-29.875,3.5
93,330.0,22.0,-85.6098,127.3896,-30.3038,3.4
94,337.5,22.5,-85.6098,126.8845,-30.6776,3.3
95,345.0,23.0,-85.6098,126.3235,-30.9893,3.2
96,352.5,23.5,-85.6098,125.7168,-31.2329,3.1
97,0.0,0.0,-81.2195,126.3287,-35.6681,3.0
98,7.5,0.5,-81.2195,124.9401,-35.8667,3.0
99,15.0,1.0,-81.2195,123.5287,-35.902,3.0
100,22.5,1.5,-81.2195,122.1264,-35.7731,3.0
101,30.0,2.0,-81.2195,120.7649,-35.483,3.0
102,37.5,2.5,-81.2195,119.4739,-35.0384,3.0
103,45.0,3.0,-81.2195,118.2804,-34.4492,3.0
104,52.5,3.5,-81.2195,117.2075,-33.7284,3.0
105,60.0,4.0,-81.2195,116.2742,-32.8915,3.0
106,67.5,4.5,-81.2195,115.4948,-31.9555,3.0
107,75.0,5.0,-81.2195,114.8792,-30.9391,3.2
108,82.5,5.5,-81.2195,114.4334,-29.8615,3.5
109,90.0,6.0,-81.2195,114.1597,-28.7426,4.0
110,97.5,6.5,-81.2195,114.0569,-27.6022,4.4
111,105.0,7.0,-81.2195,114.1214,-26.4595,5.0
112,112.5,7.5,-81.2195,114.3473,-25.3336,5.6
113,120.0,8.0,-81.2195,114.7264,-24.2426,6.2
114,127.5,8.5,-81.2195,115.2494,-23.2035,6.9
115,135.0,9.0,-81.2195,115.9052,-22.2324,7.6
116,142.5,9.5,-81.2195,116.6816,-21.3441,8.3
117,150.0,10.0,-81.2195,117.5654,-20.5518,9.0
118,157.5,10.5,-81.2195,118.5423,-19.8674,9.6
119,165.0,11.0,-81.2195,119.5974,-19.3009,10.2
120,172.5,11.5,-81.2195,120.7148,-18.8609,10.6
121,180.0,12.0,-81.2195,121.8783,-18.5536,10.9
122,187.5,12.5,-81.2195,123.0711,-18.3836,11.1
123,195.0,13.0,-81.2195,124.2762,-18.3535,11.2
124,202.5,13.5,-81.2195,125.4764,-18.4636,11.0
125,210.0,14.0,-81.2195,126.6545,-18.7124,10.8
126,217.5,14.5,-81.2195,127.7938,-19.0962,10.4
127,225.0,15.0,-81.2195,128.8775,-19.6093,9.9
128,232.5,15.5,-81.2195,129.8899,-20.2442,9.2
129,240.0,16.0,-81.2195,130.8154,-20.9915,8.6
130,247.5,16.5,-81.2195,131.6396,-21.8402,7.9
131,255.0,17.0,-81.2195,132.3487,-22.7775,7.2
132,262.5,17.5,-81.2195,132.9301,-23.7893,6.5
133,270.0,18.0,-81.2195,133.3723,-24.8601,5.8
134,277.5,18.5,-81.2195,133.665,-25.9732,5.2
135,285.0,19.0,-81.2195,133.7996,-27.1109,4.7
136,292.5,19.5,-81.2195,133.7692,-28.2546,4.1
137,300.0,20.0,-81.2195,133.5691,-29.3852,3.7
138,307.5,20.5,-81.2195,133.1971,-30.4829,3.3
139,315.0,21.0,-81.2195,132.6539,-31.528,3.0
140,322.5,21.5,-81.2195,131.9439,-32.5008,3.0
141,330.0,22.0,-81.2195,131.0751,-33.3825,3.0
142,337.5,22.5,-81.2195,130.0601,-34.1551,3.0
143,345.0,23.0,-81.2195,128.9158,-34.8025,3.0
144,352.5,23.5,-81.2195,127.6635,-35.3106,3.0
145,0.0,0.0,-76.8293,127.7231,-39.918,3.0
146,7.5,0.5,-76.8293,125.5295,-40.2324,3.0
147,15.0,1.0,-76.8293,123.2927,-40.2884,3.0
148,22.5,1.5,-76.8293,121.0733,-40.0842,3.0
