point_number,point_id,scan_order,grid_row,grid_col,row,column,ra,dec,target_ra_hours,target_dec_degrees,target_ra_hms,target_dec_dms,center_distance_deg,nominal_spacing_deg,capture_status,start_time,end_time,duration,error_message,data_filename,session_name,session_id
1,1,1,0,0,0,0,14.881279,-62.009109,14.881279,-62.009109,14:52:52.603,-62:00:32.79,27.990891,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0001.dat,prueba_scp_coverage_overlay,20260810-15:32:25
2,2,2,0,1,0,1,14.157256,-66.115438,14.157256,-66.115438,14:09:26.120,-66:06:55.58,23.884562,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0002.dat,prueba_scp_coverage_overlay,20260810-15:32:25
3,3,3,0,2,0,2,13.179383,-68.961396,13.179383,-68.961396,13:10:45.778,-68:57:41.02,21.038604,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0003.dat,prueba_scp_coverage_overlay,20260810-15:32:25
4,4,4,0,3,0,3,12.000000,-70.000000,12.000000,-70.000000,12:00:00.000,-70:00:00.00,20.000000,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0004.dat,prueba_scp_coverage_overlay,20260810-15:32:25
5,5,5,0,4,0,4,10.820617,-68.961396,10.820617,-68.961396,10:49:14.222,-68:57:41.02,21.038604,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0005.dat,prueba_scp_coverage_overlay,20260810-15:32:25
6,6,6,0,5,0,5,9.842744,-66.115438,9.842744,-66.115438,09:50:33.880,-66:06:55.58,23.884562,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0006.dat,prueba_scp_coverage_overlay,20260810-15:32:25
7,7,7,0,6,0,6,9.118721,-62.009109,9.118721,-62.009109,09:07:07.397,-62:00:32.79,27.990891,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0007.dat,prueba_scp_coverage_overlay,20260810-15:32:25
8,14,8,1,6,1,6,8.314680,-66.115438,8.314680,-66.115438,08:18:52.846,-66:06:55.58,23.884562,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0008.dat,prueba_scp_coverage_overlay,20260810-15:32:25
9,13,9,1,5,1,5,9.052181,-71.229724,9.052181,-71.229724,09:03:07.850,-71:13:47.01,18.770276,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0009.dat,prueba_scp_coverage_overlay,20260810-15:32:25
10,12,10,1,4,1,4,10.260186,-75.119936,10.260186,-75.119936,10:15:36.670,-75:07:11.77,14.880064,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0010.dat,prueba_scp_coverage_overlay,20260810-15:32:25
11,11,11,1,3,1,3,12.000000,-76.666667,12.000000,-76.666667,12:00:00.000,-76:40:00.00,13.333333,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0011.dat,prueba_scp_coverage_overlay,20260810-15:32:25
12,10,12,1,2,1,2,13.739814,-75.119936,13.739814,-75.119936,13:44:23.330,-75:07:11.77,14.880064,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0012.dat,prueba_scp_coverage_overlay,20260810-15:32:25
13,9,13,1,1,1,1,14.947819,-71.229724,14.947819,-71.229724,14:56:52.150,-71:13:47.01,18.770276,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0013.dat,prueba_scp_coverage_overlay,20260810-15:32:25
14,8,14,1,0,1,0,15.685320,-66.115438,15.685320,-66.115438,15:41:07.154,-66:06:55.58,23.884562,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0014.dat,prueba_scp_coverage_overlay,20260810-15:32:25
15,15,15,2,0,2,0,16.742164,-68.961396,16.742164,-68.961396,16:44:31.790,-68:57:41.02,21.038604,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0015.dat,prueba_scp_coverage_overlay,20260810-15:32:25
16,16,16,2,1,2,1,16.208180,-75.119936,16.208180,-75.119936,16:12:29.449,-75:07:11.77,14.880064,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0016.dat,prueba_scp_coverage_overlay,20260810-15:32:25
17,17,17,2,2,2,2,14.987042,-80.582572,14.987042,-80.582572,14:59:13.353,-80:34:57.26,9.417428,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0017.dat,prueba_scp_coverage_overlay,20260810-15:32:25
18,18,18,2,3,2,3,12.000000,-83.333333,12.000000,-83.333333,12:00:00.000,-83:20:00.00,6.666667,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0018.dat,prueba_scp_coverage_overlay,20260810-15:32:25
19,19,19,2,4,2,4,9.012958,-80.582572,9.012958,-80.582572,09:00:46.647,-80:34:57.26,9.417428,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0019.dat,prueba_scp_coverage_overlay,20260810-15:32:25
20,20,20,2,5,2,5,7.791820,-75.119936,7.791820,-75.119936,07:47:30.551,-75:07:11.77,14.880064,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0020.dat,prueba_scp_coverage_overlay,20260810-15:32:25
21,21,21,2,6,2,6,7.257836,-68.961396,7.257836,-68.961396,07:15:28.210,-68:57:41.02,21.038604,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0021.dat,prueba_scp_coverage_overlay,20260810-15:32:25
22,28,22,3,6,3,6,6.000000,-70.000000,6.000000,-70.000000,06:00:00.000,-70:00:00.00,20.000000,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0022.dat,prueba_scp_coverage_overlay,20260810-15:32:25
23,27,23,3,5,3,5,6.000000,-76.666667,6.000000,-76.666667,06:00:00.000,-76:40:00.00,13.333333,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0023.dat,prueba_scp_coverage_overlay,20260810-15:32:25
24,26,24,3,4,3,4,6.000000,-83.333333,6.000000,-83.333333,05:59:60.000,-83:19:60.00,6.666667,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0024.dat,prueba_scp_coverage_overlay,20260810-15:32:25
25,25,25,3,3,3,3,0.000000,-90.000000,0.000000,-90.000000,00:00:00.000,-90:00:00.00,0.000000,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0025.dat,prueba_scp_coverage_overlay,20260810-15:32:25
26,24,26,3,2,3,2,18.000000,-83.333333,18.000000,-83.333333,18:00:00.000,-83:19:60.00,6.666667,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0026.dat,prueba_scp_coverage_overlay,20260810-15:32:25
27,23,27,3,1,3,1,18.000000,-76.666667,18.000000,-76.666667,18:00:00.000,-76:40:00.00,13.333333,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0027.dat,prueba_scp_coverage_overlay,20260810-15:32:25
28,22,28,3,0,3,0,18.000000,-70.000000,18.000000,-70.000000,18:00:00.000,-70:00:00.00,20.000000,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0028.dat,prueba_scp_coverage_overlay,20260810-15:32:25
29,29,29,4,0,4,0,19.257836,-68.961396,19.257836,-68.961396,19:15:28.210,-68:57:41.02,21.038604,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0029.dat,prueba_scp_coverage_overlay,20260810-15:32:25
30,30,30,4,1,4,1,19.791820,-75.119936,19.791820,-75.119936,19:47:30.551,-75:07:11.77,14.880064,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0030.dat,prueba_scp_coverage_overlay,20260810-15:32:25
31,31,31,4,2,4,2,21.012958,-80.582572,21.012958,-80.582572,21:00:46.647,-80:34:57.26,9.417428,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0031.dat,prueba_scp_coverage_overlay,20260810-15:32:25
32,32,32,4,3,4,3,0.000000,-83.333333,0.000000,-83.333333,00:00:00.000,-83:19:60.00,6.666667,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0032.dat,prueba_scp_coverage_overlay,20260810-15:32:25
33,33,33,4,4,4,4,2.987042,-80.582572,2.987042,-80.582572,02:59:13.353,-80:34:57.26,9.417428,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0033.dat,prueba_scp_coverage_overlay,20260810-15:32:25
34,34,34,4,5,4,5,4.208180,-75.119936,4.208180,-75.119936,04:12:29.449,-75:07:11.77,14.880064,6.6666666660,planned,,,,,prueba_scp_coverage_overlay_0034.dat,prueba_scp_coverage_overlay,20260810-15:32:25
