point_number,point_id,scan_order,grid_row,grid_col,row,column,ra,dec,target_ra_hours,target_dec_degrees,target_ra_hms,target_dec_dms,center_distance_deg,nominal_spacing_deg,capture_status,start_time,end_time,duration,error_message,data_filename,session_name,session_id,experiment_label,experiment_visit
1,1,1,0,0,0,0,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0001.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,1
2,2,2,0,1,0,1,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0002.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,2
3,3,3,0,2,0,2,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0003.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,3
4,4,4,0,3,0,3,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0004.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,4
5,5,5,0,4,0,4,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0005.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,5
6,6,6,0,5,0,5,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0006.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,6
7,7,7,0,6,0,6,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0007.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,7
8,8,8,0,7,0,7,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0008.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,8
9,9,9,0,8,0,8,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0009.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,9
10,10,10,0,9,0,9,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0010.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,10
11,11,11,0,10,0,10,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0011.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,11
12,12,12,0,11,0,11,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0012.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,12
13,13,13,0,12,0,12,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0013.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,13
14,14,14,0,13,0,13,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0014.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,14
15,15,15,0,14,0,14,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0015.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,15
16,16,16,0,15,0,15,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0016.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,16
17,17,17,0,16,0,16,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-A_0017.dat,SCIENCE-FORENSICS-EXP-HI148-01-A,,A,17
