point_number,point_id,scan_order,grid_row,grid_col,row,column,ra,dec,target_ra_hours,target_dec_degrees,target_ra_hms,target_dec_dms,center_distance_deg,nominal_spacing_deg,capture_status,start_time,end_time,duration,error_message,data_filename,session_name,session_id,experiment_label,experiment_visit
1,1,1,0,0,0,0,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-B_0001.dat,SCIENCE-FORENSICS-EXP-HI148-01-B,,A,1
2,2,2,2,0,2,0,12.149923,-35.699000,12.149923,-35.699000,12:08:59.724,-35:41:56.40,4.546185,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-B_0002.dat,SCIENCE-FORENSICS-EXP-HI148-01-B,,C,1
3,3,3,0,1,0,1,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-B_0003.dat,SCIENCE-FORENSICS-EXP-HI148-01-B,,A,2
4,4,4,1,0,1,0,11.830000,-28.949000,11.830000,-28.949000,11:49:48.000,-28:56:56.40,4.500000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-B_0004.dat,SCIENCE-FORENSICS-EXP-HI148-01-B,,B,1
5,5,5,0,2,0,2,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-B_0005.dat,SCIENCE-FORENSICS-EXP-HI148-01-B,,A,3
6,6,6,1,1,1,1,11.830000,-28.949000,11.830000,-28.949000,11:49:48.000,-28:56:56.40,4.500000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-B_0006.dat,SCIENCE-FORENSICS-EXP-HI148-01-B,,B,2
7,7,7,0,3,0,3,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-B_0007.dat,SCIENCE-FORENSICS-EXP-HI148-01-B,,A,4
8,8,8,2,1,2,1,12.149923,-35.699000,12.149923,-35.699000,12:08:59.724,-35:41:56.40,4.546185,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-B_0008.dat,SCIENCE-FORENSICS-EXP-HI148-01-B,,C,2
9,9,9,0,4,0,4,11.830000,-33.449000,11.830000,-33.449000,11:49:48.000,-33:26:56.40,0.000000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-B_0009.dat,SCIENCE-FORENSICS-EXP-HI148-01-B,,A,5
10,10,10,1,2,1,2,11.830000,-28.949000,11.830000,-28.949000,11:49:48.000,-28:56:56.40,4.500000,0.0000000000,planned,,,,,SCIENCE-FORENSICS-EXP-HI148-01-B_0010.dat,SCIENCE-FORENSICS-EXP-HI148-01-B,,B,3
